,match_transcript_id,gene_name
0,ENST00000240636,PRB1
1,ENST00000548147,KANSL2
2,ENST00000262032,IKZF4
3,ENST00000256015,BTG1
4,ENST00000257572,HRK
5,ENST00000546333,RP11-87C12.2
6,ENST00000335678,GRK1
7,ENST00000547760,RP11-176H8.1
8,ENST00000552941,CHURC1-FNTB
9,ENST00000311841,RP11-446E24.4
10,ENST00000553745,ABCD4
11,ENST00000425300,MROH7-TTC4
12,ENST00000401095,TTC34
13,ENST00000551312,RP11-701H24.9
14,ENST00000536980,MEFV
15,ENST00000567442,RP11-1021N1.1
16,ENST00000300087,DCTN5
17,ENST00000380596,BOLA2
18,ENST00000565417,RP11-345J4.5
19,ENST00000568107,GAN
20,ENST00000611218,SPATA33
21,ENST00000225519,SHPK
22,ENST00000573331,TMEM256-PLSCR3
23,ENST00000621332,MLLT6
24,ENST00000369851,GNAI3
25,ENST00000436233,SEC14L1
26,ENST00000590602,TMC6
27,ENST00000606954,RP11-426L16.10
28,ENST00000256433,IER3IP1
29,ENST00000393708,FDX2
30,ENST00000423327,SPC24
31,ENST00000430024,ZNF625-ZNF20
32,ENST00000596542,CTD-2278I10.6
33,ENST00000598046,ZNF708
34,ENST00000435820,ZNF257
35,ENST00000589807,AD000671.6
36,ENST00000591613,AC002398.9
37,ENST00000590245,CTC-454I21.3
38,ENST00000291825,PRX
39,ENST00000599795,CTB-60B18.23
40,ENST00000330123,ZNF616
41,ENST00000391788,ZNF528
42,ENST00000594682,ZNF83
43,ENST00000595001,ZNF611
44,ENST00000376514,LENG8
45,ENST00000376325,SHISA7
46,ENST00000600619,ZNF530
47,ENST00000535785,ZNF211
48,ENST00000416222,ATL2
49,ENST00000295025,REL
50,ENST00000628224,DCTN1
51,ENST00000443120,ANKRD39
52,ENST00000424491,RP11-111H13.1
53,ENST00000603767,AC108938.5
54,ENST00000439966,MERTK
55,ENST00000452162,PKP4
56,ENST00000392663,BBS5
57,ENST00000309955,CFLAR
58,ENST00000377205,NMNAT1
59,ENST00000445090,DIS3L2
60,ENST00000318407,BOK
61,ENST00000374345,C20orf173
62,ENST00000381151,SLC5A3
63,ENST00000340344,NDUFV3
64,ENST00000339818,C21orf2
65,ENST00000407308,DUSP18
66,ENST00000396077,ZNF445
67,ENST00000359051,HYAL3
68,ENST00000619531,HHLA2
69,ENST00000308132,FAM53A
70,ENST00000382247,DCAF16
71,ENST00000295958,SMIM14
72,ENST00000614859,C1orf158
73,ENST00000499666,LAMTOR3
74,ENST00000360578,TPPP
75,ENST00000304460,SLC6A19
76,ENST00000367311,PHLDA3
77,ENST00000504156,HARS
78,ENST00000480294,RP11-637O19.3
79,ENST00000606613,HIST1H2BN
80,ENST00000307340,USH2A
81,ENST00000375755,MSH5
82,ENST00000474839,SKIV2L
83,ENST00000482399,VPS52
84,ENST00000629380,SYNGAP1
85,ENST00000438774,TMEM151B
86,ENST00000423730,RP11-257K9.8
87,ENST00000465119,TP53BP2
88,ENST00000623361,IQCE
89,ENST00000261396,NUP133
90,ENST00000324489,MTURN
91,ENST00000636578,RP11-638I8.1
92,ENST00000602885,TSNAX-DISC1
93,ENST00000306085,TRIM56
94,ENST00000476295,ZNF783
95,ENST00000331222,CLN8
96,ENST00000240100,DUSP4
97,ENST00000358757,RP11-463D19.2
98,ENST00000381312,ADARB2
99,ENST00000381627,RLN2
100,ENST00000380094,ANKRD16
101,ENST00000540557,RP11-613M10.9
102,ENST00000265381,APBA1
103,ENST00000340911,ZNF169
104,ENST00000374227,ZFP37
105,ENST00000610672,MED22
106,ENST00000568665,RP11-350O14.18
107,ENST00000327968,DDX53
108,ENST00000462683,YIPF6
109,ENST00000494072,RP13-279N23.2
110,ENST00000473533,HERC4
111,ENST00000636754,LGI1
112,ENST00000299353,BORCS7-ASMT
113,ENST00000494792,RP11-12J10.3
114,ENST00000455566,PPP2R2D
115,ENST00000301886,ARL2-SNX15
116,ENST00000373816,GMEB1
117,ENST00000421355,RBM14-RBM4
118,ENST00000458452,CPSF3L
