match_transcript_id,gene_name
ENST00000240636,PRB1
ENST00000548147,KANSL2
ENST00000262032,IKZF4
ENST00000256015,BTG1
ENST00000257572,HRK
ENST00000546333,RP11-87C12.2
ENST00000335678,GRK1
ENST00000547760,RP11-176H8.1
ENST00000552941,CHURC1-FNTB
ENST00000311841,RP11-446E24.4
ENST00000553745,ABCD4
ENST00000425300,MROH7-TTC4
ENST00000401095,TTC34
ENST00000551312,RP11-701H24.9
ENST00000536980,MEFV
ENST00000567442,RP11-1021N1.1
ENST00000300087,DCTN5
ENST00000380596,BOLA2
ENST00000565417,RP11-345J4.5
ENST00000568107,GAN
ENST00000611218,SPATA33
ENST00000225519,SHPK
ENST00000573331,TMEM256-PLSCR3
ENST00000621332,MLLT6
ENST00000369851,GNAI3
ENST00000436233,SEC14L1
ENST00000590602,TMC6
ENST00000606954,RP11-426L16.10
ENST00000256433,IER3IP1
ENST00000393708,FDX2
ENST00000423327,SPC24
ENST00000430024,ZNF625-ZNF20
ENST00000596542,CTD-2278I10.6
ENST00000598046,ZNF708
ENST00000435820,ZNF257
ENST00000589807,AD000671.6
ENST00000591613,AC002398.9
ENST00000590245,CTC-454I21.3
ENST00000291825,PRX
ENST00000599795,CTB-60B18.23
ENST00000330123,ZNF616
ENST00000391788,ZNF528
ENST00000594682,ZNF83
ENST00000595001,ZNF611
ENST00000376514,LENG8
ENST00000376325,SHISA7
ENST00000600619,ZNF530
ENST00000535785,ZNF211
ENST00000416222,ATL2
ENST00000295025,REL
ENST00000628224,DCTN1
ENST00000443120,ANKRD39
ENST00000424491,RP11-111H13.1
ENST00000603767,AC108938.5
ENST00000439966,MERTK
ENST00000452162,PKP4
ENST00000392663,BBS5
ENST00000309955,CFLAR
ENST00000377205,NMNAT1
ENST00000445090,DIS3L2
ENST00000318407,BOK
ENST00000374345,C20orf173
ENST00000381151,SLC5A3
ENST00000340344,NDUFV3
ENST00000339818,C21orf2
ENST00000407308,DUSP18
ENST00000396077,ZNF445
ENST00000359051,HYAL3
ENST00000619531,HHLA2
ENST00000308132,FAM53A
ENST00000382247,DCAF16
ENST00000295958,SMIM14
ENST00000614859,C1orf158
ENST00000499666,LAMTOR3
ENST00000360578,TPPP
ENST00000304460,SLC6A19
ENST00000367311,PHLDA3
ENST00000504156,HARS
ENST00000480294,RP11-637O19.3
ENST00000606613,HIST1H2BN
ENST00000307340,USH2A
ENST00000375755,MSH5
ENST00000474839,SKIV2L
ENST00000482399,VPS52
ENST00000629380,SYNGAP1
ENST00000438774,TMEM151B
ENST00000423730,RP11-257K9.8
ENST00000465119,TP53BP2
ENST00000623361,IQCE
ENST00000261396,NUP133
ENST00000324489,MTURN
ENST00000636578,RP11-638I8.1
ENST00000602885,TSNAX-DISC1
ENST00000306085,TRIM56
ENST00000476295,ZNF783
ENST00000331222,CLN8
ENST00000240100,DUSP4
ENST00000358757,RP11-463D19.2
ENST00000381312,ADARB2
ENST00000381627,RLN2
ENST00000380094,ANKRD16
ENST00000540557,RP11-613M10.9
ENST00000265381,APBA1
ENST00000340911,ZNF169
ENST00000374227,ZFP37
ENST00000610672,MED22
ENST00000568665,RP11-350O14.18
ENST00000327968,DDX53
ENST00000462683,YIPF6
ENST00000494072,RP13-279N23.2
ENST00000473533,HERC4
ENST00000636754,LGI1
ENST00000299353,BORCS7-ASMT
ENST00000494792,RP11-12J10.3
ENST00000455566,PPP2R2D
ENST00000301886,ARL2-SNX15
ENST00000373816,GMEB1
ENST00000421355,RBM14-RBM4
ENST00000458452,CPSF3L
