transcript,gene,ref_transcript
MSTRG.10103.1,CHCHD1,ENST00000372833
MSTRG.10204.4,FRA10AC1,ENST00000359204
MSTRG.1023.20,SFN,ENST00000339276
MSTRG.1024.1,SFN,ENST00000339276
MSTRG.1024.11,SFN,ENST00000339276
MSTRG.1024.7,SFN,ENST00000339276
MSTRG.1024.8,SFN,ENST00000339276
MSTRG.10269.2,TM9SF3,ENST00000371142
MSTRG.10269.28,TM9SF3,ENST00000371142
MSTRG.10269.9,TM9SF3,ENST00000371142
MSTRG.10286.2,FRAT1,ENST00000371021
MSTRG.10290.1,FRAT2,ENST00000371019
MSTRG.10290.2,FRAT2,ENST00000371019
MSTRG.10376.36,MMS19,ENST00000327238
MSTRG.10376.38,MMS19,ENST00000415383
MSTRG.10380.10,SCD,ENST00000370355
MSTRG.10380.12,SCD,ENST00000370355
MSTRG.10380.8,SCD,ENST00000370355
MSTRG.10403.9,HIF1AN,ENST00000299163
MSTRG.10475.16,HPS1,ENST00000325103
MSTRG.10475.19,HPS1,ENST00000325103
MSTRG.10475.34,HPS1,ENST00000325103
MSTRG.10475.48,HPS1,ENST00000325103
MSTRG.10488.6,SFXN2,ENST00000369893
MSTRG.10496.5,ACTR1A,ENST00000369905
MSTRG.10657.11,SMNDC1,ENST00000369603
MSTRG.10705.16,PDCD4,ENST00000393104
MSTRG.10731.3,HABP2,ENST00000351270
MSTRG.108.55,GNB1,ENST00000378609
MSTRG.108.57,GNB1,ENST00000378609
MSTRG.10890.10,FAM204A,ENST00000369183
MSTRG.10890.8,FAM204A,ENST00000369183
MSTRG.10890.9,FAM204A,ENST00000369170
MSTRG.10915.29,EIF3A,ENST00000541549
MSTRG.10980.4,SEC23IP,ENST00000369075
MSTRG.11099.18,FAM53B,ENST00000280780
MSTRG.11184.11,PTPRE,ENST00000254667
MSTRG.11184.13,PTPRE,ENST00000254667
MSTRG.11184.20,PTPRE,ENST00000254667
MSTRG.11184.8,PTPRE,ENST00000254667
MSTRG.11288.10,PPP2R2D,ENST00000455566
MSTRG.11288.11,PPP2R2D,ENST00000455566
MSTRG.11288.12,PPP2R2D,ENST00000455566
MSTRG.11288.13,PPP2R2D,ENST00000455566
MSTRG.11288.14,PPP2R2D,ENST00000455566
MSTRG.11288.17,PPP2R2D,ENST00000455566
MSTRG.11288.21,PPP2R2D,ENST00000455566
MSTRG.11288.22,PPP2R2D,ENST00000455566
MSTRG.11288.23,PPP2R2D,ENST00000455566
MSTRG.11288.25,PPP2R2D,ENST00000455566
MSTRG.11288.26,PPP2R2D,ENST00000455566
MSTRG.11288.29,PPP2R2D,ENST00000455566
MSTRG.11288.3,PPP2R2D,ENST00000455566
MSTRG.11288.31,PPP2R2D,ENST00000455566
MSTRG.11288.33,PPP2R2D,ENST00000455566
MSTRG.11288.34,PPP2R2D,ENST00000455566
MSTRG.11288.35,PPP2R2D,ENST00000455566
MSTRG.11288.37,PPP2R2D,ENST00000455566
MSTRG.11288.38,PPP2R2D,ENST00000455566
MSTRG.11288.40,PPP2R2D,ENST00000455566
MSTRG.11288.6,PPP2R2D,ENST00000455566
MSTRG.11288.7,PPP2R2D,ENST00000455566
MSTRG.1133.10,YTHDF2,ENST00000373812
MSTRG.11341.39,IFITM2,ENST00000399815
MSTRG.11388.7,DUSP8,ENST00000331588
MSTRG.1145.16,MECR,ENST00000263702
MSTRG.1145.30,MECR,ENST00000263702
MSTRG.1145.37,MECR,ENST00000263702
MSTRG.1148.53,RCC1,ENST00000373832
MSTRG.11663.12,RIC3,ENST00000309737
MSTRG.11727.23,IFITM10,ENST00000382123
MSTRG.11727.36,CTSD,ENST00000236671
MSTRG.11731.190,TNNT3,ENST00000278317
MSTRG.11731.193,TNNT3,ENST00000278317
MSTRG.11731.207,TNNT3,ENST00000278317
MSTRG.11742.10,IGF2,ENST00000381395
MSTRG.11742.12,IGF2,ENST00000416167
MSTRG.11742.13,IGF2,ENST00000381406
MSTRG.11742.14,IGF2,ENST00000416167
MSTRG.11742.15,IGF2,ENST00000381389
MSTRG.11742.16,IGF2,ENST00000416167
MSTRG.11742.17,IGF2,ENST00000416167
MSTRG.11742.18,IGF2,ENST00000381406
MSTRG.11742.2,IGF2,ENST00000416167
MSTRG.11742.20,IGF2,ENST00000381389
MSTRG.11742.21,IGF2,ENST00000416167
MSTRG.11742.24,IGF2,ENST00000416167
MSTRG.11742.25,IGF2,ENST00000381395
MSTRG.11742.26,IGF2,ENST00000416167
MSTRG.11742.27,IGF2,ENST00000381389
MSTRG.11742.29,IGF2,ENST00000416167
MSTRG.11742.30,IGF2,ENST00000416167
MSTRG.11742.31,IGF2,ENST00000381389
MSTRG.11742.32,IGF2,ENST00000416167
MSTRG.11742.33,IGF2,ENST00000381389
MSTRG.11742.34,IGF2,ENST00000416167
MSTRG.11742.37,IGF2,ENST00000381406
MSTRG.11742.38,IGF2,ENST00000381406
MSTRG.11742.39,IGF2,ENST00000416167
MSTRG.11742.4,IGF2,ENST00000416167
MSTRG.11742.40,IGF2,ENST00000381395
MSTRG.11742.41,IGF2,ENST00000416167
MSTRG.11742.42,IGF2,ENST00000381395
MSTRG.11742.44,IGF2,ENST00000381406
MSTRG.11742.45,IGF2,ENST00000381395
MSTRG.11742.46,IGF2,ENST00000381389
MSTRG.11742.47,IGF2,ENST00000416167
MSTRG.11742.48,IGF2,ENST00000381389
MSTRG.11742.49,IGF2,ENST00000416167
MSTRG.11742.5,IGF2,ENST00000381389
MSTRG.11742.50,IGF2,ENST00000416167
MSTRG.11742.51,IGF2,ENST00000416167
MSTRG.11742.52,IGF2,ENST00000416167
MSTRG.11742.53,IGF2,ENST00000381389
MSTRG.11742.55,IGF2,ENST00000416167
MSTRG.11742.56,IGF2,ENST00000381406
MSTRG.11742.57,IGF2,ENST00000416167
MSTRG.11742.58,IGF2,ENST00000416167
MSTRG.11742.59,IGF2,ENST00000416167
MSTRG.11742.6,IGF2,ENST00000381389
MSTRG.11742.61,IGF2,ENST00000416167
MSTRG.11742.62,IGF2,ENST00000381395
MSTRG.11742.63,IGF2,ENST00000381389
MSTRG.11742.64,IGF2,ENST00000381389
MSTRG.11742.67,IGF2,ENST00000416167
MSTRG.11742.68,IGF2,ENST00000416167
MSTRG.11742.69,IGF2,ENST00000381389
MSTRG.11742.7,IGF2,ENST00000416167
MSTRG.11742.70,IGF2,ENST00000416167
MSTRG.11742.71,IGF2,ENST00000381389
MSTRG.11742.75,IGF2,ENST00000416167
MSTRG.11742.8,IGF2,ENST00000416167
MSTRG.11767.26,MRVI1,ENST00000423302
MSTRG.11823.21,PTDSS2,ENST00000308020
MSTRG.11823.37,PTDSS2,ENST00000308020
MSTRG.11831.46,RASSF7,ENST00000397582
MSTRG.11841.18,SLC25A22,ENST00000320230
MSTRG.11841.20,SLC25A22,ENST00000320230
MSTRG.11841.21,SLC25A22,ENST00000320230
MSTRG.11841.27,SLC25A22,ENST00000628067
MSTRG.11841.41,SLC25A22,ENST00000320230
MSTRG.11843.69,PIDD1,ENST00000347755
MSTRG.11848.2,POLR2L,ENST00000322028
MSTRG.11848.3,POLR2L,ENST00000322028
MSTRG.1208.17,ZCCHC17,ENST00000344147
MSTRG.1216.13,LAPTM5,ENST00000294507
MSTRG.12226.10,ARL14EP,ENST00000282032
MSTRG.12226.7,ARL14EP,ENST00000282032
MSTRG.12296.10,PRRG4,ENST00000257836
MSTRG.12296.13,PRRG4,ENST00000257836
MSTRG.12296.18,PRRG4,ENST00000257836
MSTRG.12296.5,PRRG4,ENST00000257836
MSTRG.1245.10,MARCKSL1,ENST00000329421
MSTRG.1249.18,BSDC1,ENST00000444377
MSTRG.12562.12,TP53I11,ENST00000308212
MSTRG.12562.16,TP53I11,ENST00000308212
MSTRG.12562.19,TP53I11,ENST00000308212
MSTRG.1274.24,AK2,ENST00000373449
MSTRG.1274.27,AK2,ENST00000373449
MSTRG.1274.28,AK2,ENST00000373449
MSTRG.1274.31,AK2,ENST00000373449
MSTRG.1274.32,AK2,ENST00000373449
MSTRG.1274.36,AK2,ENST00000373449
MSTRG.1274.37,AK2,ENST00000373449
MSTRG.12762.21,TNKS1BP1,ENST00000358252
MSTRG.12762.29,TNKS1BP1,ENST00000358252
MSTRG.12782.83,PSMC3,ENST00000298852
MSTRG.12785.1,PTPMT1,ENST00000326656
MSTRG.12948.7,CCDC86,ENST00000227520
MSTRG.12957.4,ZDHHC5,ENST00000287169
MSTRG.12957.8,ZDHHC5,ENST00000287169
MSTRG.12974.11,TMEM109,ENST00000227525
MSTRG.12974.2,TMEM109,ENST00000227525
MSTRG.12974.5,TMEM109,ENST00000227525
MSTRG.12974.6,TMEM109,ENST00000227525
MSTRG.12974.8,TMEM109,ENST00000227525
MSTRG.12991.3,TMEM138,ENST00000278826
MSTRG.12993.10,SDHAF2,ENST00000301761
MSTRG.13019.6,TMEM258,ENST00000535042
MSTRG.13020.13,FADS2,ENST00000278840
MSTRG.13020.21,FADS2,ENST00000278840
MSTRG.13020.22,FADS2,ENST00000278840
MSTRG.13020.23,FADS2,ENST00000278840
MSTRG.13021.1,FADS1,ENST00000350997
MSTRG.13021.2,FADS1,ENST00000350997
MSTRG.13021.5,FADS1,ENST00000350997
MSTRG.13021.6,FADS1,ENST00000350997
MSTRG.13021.7,FADS1,ENST00000350997
MSTRG.13021.8,FADS1,ENST00000350997
MSTRG.13039.11,FTH1,ENST00000273550
MSTRG.13050.134,GANAB,ENST00000346178
MSTRG.1308.15,SMIM12,ENST00000521580
MSTRG.13103.1,HRASLS2,ENST00000255695
MSTRG.13112.5,C11orf95,ENST00000433688
MSTRG.13125.37,OTUB1,ENST00000301453
MSTRG.13130.10,STIP1,ENST00000305218
MSTRG.13158.1,TRMT112,ENST00000535126
MSTRG.13163.1,EHD1,ENST00000359393
MSTRG.13184.3,ARL2,ENST00000246747
MSTRG.13184.5,ARL2,ENST00000246747
MSTRG.13184.6,ARL2,ENST00000246747
MSTRG.13184.7,ARL2,ENST00000246747
MSTRG.13242.3,RNASEH2C,ENST00000531596
MSTRG.13248.3,OVOL1,ENST00000335987
MSTRG.13248.7,OVOL1,ENST00000335987
MSTRG.13263.5,MAP4K2,ENST00000294066
MSTRG.13269.6,DRAP1,ENST00000312515
MSTRG.13283.3,CST6,ENST00000312134
MSTRG.13307.43,SF3B2,ENST00000322535
MSTRG.13311.23,RAB1B,ENST00000311481
MSTRG.13311.28,RAB1B,ENST00000311481
MSTRG.13322.1,MRPL11,ENST00000310999
MSTRG.13322.6,MRPL11,ENST00000430466
MSTRG.13322.9,MRPL11,ENST00000329819
MSTRG.13324.14,DPP3,ENST00000531863
MSTRG.13324.19,DPP3,ENST00000532677
MSTRG.13325.15,ZDHHC24,ENST00000310442
MSTRG.13325.16,ZDHHC24,ENST00000310442
MSTRG.13379.9,GRK2,ENST00000308595
MSTRG.13390.7,NUDT8,ENST00000301490
MSTRG.13555.10,CCND1,ENST00000227507
MSTRG.13555.13,CCND1,ENST00000227507
MSTRG.13555.14,CCND1,ENST00000227507
MSTRG.13555.15,CCND1,ENST00000227507
MSTRG.13555.16,CCND1,ENST00000227507
MSTRG.13555.19,CCND1,ENST00000227507
MSTRG.13555.2,CCND1,ENST00000227507
MSTRG.13555.20,CCND1,ENST00000227507
MSTRG.13555.21,CCND1,ENST00000227507
MSTRG.13555.22,CCND1,ENST00000227507
MSTRG.13555.23,CCND1,ENST00000227507
MSTRG.13555.24,CCND1,ENST00000227507
MSTRG.13555.29,CCND1,ENST00000227507
MSTRG.13555.3,CCND1,ENST00000227507
MSTRG.13555.30,CCND1,ENST00000227507
MSTRG.13555.32,CCND1,ENST00000227507
MSTRG.13555.4,CCND1,ENST00000227507
MSTRG.13555.5,CCND1,ENST00000227507
MSTRG.13555.8,CCND1,ENST00000227507
MSTRG.13555.9,CCND1,ENST00000227507
MSTRG.13624.5,FADD,ENST00000301838
MSTRG.13624.7,FADD,ENST00000301838
MSTRG.13728.5,PLEKHB1,ENST00000227214
MSTRG.13728.6,PLEKHB1,ENST00000398494
MSTRG.13728.7,PLEKHB1,ENST00000398494
MSTRG.1373.4,KPNA6,ENST00000373625
MSTRG.1373.9,KPNA6,ENST00000373625
MSTRG.1384.2,PSMB2,ENST00000373237
MSTRG.13864.1,SERPINH1,ENST00000533603
MSTRG.13864.11,SERPINH1,ENST00000533603
MSTRG.13864.14,SERPINH1,ENST00000533603
MSTRG.13864.16,SERPINH1,ENST00000533603
MSTRG.13864.18,SERPINH1,ENST00000533603
MSTRG.13864.24,SERPINH1,ENST00000524558
MSTRG.13864.3,SERPINH1,ENST00000533603
MSTRG.13923.6,TSKU,ENST00000333090
MSTRG.13938.7,CAPN5,ENST00000278559
MSTRG.13956.8,NDUFC2,ENST00000281031
MSTRG.1400.6,AGO4,ENST00000373210
MSTRG.1411.15,MAP7D1,ENST00000373150
MSTRG.14253.2,GRM5,ENST00000455756
MSTRG.14259.29,CTSC,ENST00000524463
MSTRG.14290.12,CHORDC1,ENST00000320585
MSTRG.14290.5,CHORDC1,ENST00000320585
MSTRG.14402.1,MRE11A,ENST00000323929
MSTRG.14417.1,SRSF8,ENST00000587424
MSTRG.14417.2,SRSF8,ENST00000587424
MSTRG.1447.2,EMC1,ENST00000477853
MSTRG.1452.4,PQLC2,ENST00000375153
MSTRG.14665.10,DCUN1D5,ENST00000260247
MSTRG.14665.16,DCUN1D5,ENST00000260247
MSTRG.14665.17,DCUN1D5,ENST00000260247
MSTRG.14665.18,DCUN1D5,ENST00000531543
MSTRG.1468.18,NBL1,ENST00000289749
MSTRG.1468.24,NBL1,ENST00000375136
