transcript_id	U2-GT/AG	U2-nc-GC/AG	U12-AT/AC	unknown
MSTRG.10103.1	0	0	0	1
MSTRG.10204.4	0	0	0	1
MSTRG.1023.20	0	1	0	0
MSTRG.1024.1	0	1	0	0
MSTRG.1024.11	0	1	0	0
MSTRG.1024.7	0	1	0	0
MSTRG.1024.8	0	1	0	0
MSTRG.10269.2	0	0	1	0
MSTRG.10269.28	0	1	0	0
MSTRG.10269.9	1	0	0	0
MSTRG.10286.2	0	1	0	0
MSTRG.10290.1	1	0	0	0
MSTRG.10290.2	1	0	0	0
MSTRG.10376.36	1	0	0	0
MSTRG.10376.38	0	0	0	1
MSTRG.10380.10	1	0	0	0
MSTRG.10380.12	0	1	0	0
MSTRG.10380.8	0	1	0	0
MSTRG.10403.9	1	0	0	0
MSTRG.10475.16	1	0	0	0
MSTRG.10475.19	1	0	0	0
MSTRG.10475.34	1	0	0	0
MSTRG.10475.48	1	0	0	0
MSTRG.10488.6	1	0	0	0
MSTRG.10496.5	0	1	0	0
MSTRG.10657.11	0	0	0	1
MSTRG.10705.16	1	0	0	0
MSTRG.10731.3	1	0	0	0
MSTRG.108.55	1	0	0	0
MSTRG.108.57	1	0	0	0
MSTRG.10890.10	1	0	0	0
MSTRG.10890.8	1	0	0	0
MSTRG.10890.9	1	0	0	0
MSTRG.10915.29	1	0	0	0
MSTRG.10980.4	1	0	0	0
MSTRG.11099.18	0	1	0	0
MSTRG.11184.11	1	0	0	0
MSTRG.11184.13	1	0	0	0
MSTRG.11184.20	1	0	0	0
MSTRG.11184.8	1	0	0	0
MSTRG.11288.10	1	0	0	0
MSTRG.11288.11	1	0	0	0
MSTRG.11288.12	1	0	0	0
MSTRG.11288.13	1	0	0	0
MSTRG.11288.14	1	0	0	0
MSTRG.11288.17	1	0	0	0
MSTRG.11288.21	1	0	0	0
MSTRG.11288.22	1	0	0	0
MSTRG.11288.23	1	0	0	0
MSTRG.11288.25	1	0	0	0
MSTRG.11288.26	1	0	0	0
MSTRG.11288.29	1	0	0	0
MSTRG.11288.3	1	0	0	0
MSTRG.11288.31	1	0	0	0
MSTRG.11288.33	1	0	0	0
MSTRG.11288.34	1	0	0	0
MSTRG.11288.35	1	0	0	0
MSTRG.11288.37	1	0	0	0
MSTRG.11288.38	1	0	0	0
MSTRG.11288.40	1	0	0	0
MSTRG.11288.6	1	0	0	0
MSTRG.11288.7	1	0	0	0
MSTRG.1133.10	0	0	1	0
MSTRG.11341.39	0	1	0	0
MSTRG.11388.7	0	1	0	0
MSTRG.1145.16	1	0	0	0
MSTRG.1145.30	0	0	0	1
MSTRG.1145.37	1	0	0	0
MSTRG.1148.53	1	0	0	0
MSTRG.11663.12	1	0	0	0
MSTRG.11727.23	1	0	0	0
MSTRG.11727.36	0	1	0	0
MSTRG.11731.190	0	0	0	1
MSTRG.11731.193	0	1	0	0
MSTRG.11731.207	0	0	0	1
MSTRG.11742.10	1	0	0	0
MSTRG.11742.12	0	0	1	0
MSTRG.11742.13	1	0	0	0
MSTRG.11742.14	1	0	0	0
MSTRG.11742.15	1	0	0	0
MSTRG.11742.16	0	1	0	0
MSTRG.11742.17	1	0	0	0
MSTRG.11742.18	0	0	1	0
MSTRG.11742.2	0	0	1	0
MSTRG.11742.20	0	0	1	0
MSTRG.11742.21	0	1	0	0
MSTRG.11742.24	0	1	0	0
MSTRG.11742.25	0	1	0	0
MSTRG.11742.26	0	0	1	0
MSTRG.11742.27	1	0	0	0
MSTRG.11742.29	1	0	0	0
MSTRG.11742.30	1	0	0	0
MSTRG.11742.31	1	0	0	0
MSTRG.11742.32	0	0	1	0
MSTRG.11742.33	0	0	1	0
MSTRG.11742.34	0	0	1	0
MSTRG.11742.37	0	0	1	0
MSTRG.11742.38	1	0	0	0
MSTRG.11742.39	0	1	0	0
MSTRG.11742.4	0	1	0	0
MSTRG.11742.40	0	1	0	0
MSTRG.11742.41	1	0	0	0
MSTRG.11742.42	1	0	0	0
MSTRG.11742.44	0	0	1	0
MSTRG.11742.45	0	1	0	0
MSTRG.11742.46	1	0	0	0
MSTRG.11742.47	1	0	0	0
MSTRG.11742.48	0	1	0	0
MSTRG.11742.49	0	0	1	0
MSTRG.11742.5	0	1	0	0
MSTRG.11742.50	0	0	1	0
MSTRG.11742.51	0	0	1	0
MSTRG.11742.52	0	1	0	0
MSTRG.11742.53	1	0	0	0
MSTRG.11742.55	0	0	1	0
MSTRG.11742.56	0	0	1	0
MSTRG.11742.57	0	0	1	0
MSTRG.11742.58	0	0	1	0
MSTRG.11742.59	0	0	1	0
MSTRG.11742.6	1	0	0	0
MSTRG.11742.61	1	0	0	0
MSTRG.11742.62	1	0	0	0
MSTRG.11742.63	0	0	1	0
MSTRG.11742.64	0	1	0	0
MSTRG.11742.67	0	1	0	0
MSTRG.11742.68	0	0	1	0
MSTRG.11742.69	0	1	0	0
MSTRG.11742.7	1	0	0	0
MSTRG.11742.70	1	0	0	0
MSTRG.11742.71	1	0	0	0
MSTRG.11742.75	0	0	0	1
MSTRG.11742.8	0	0	1	0
MSTRG.11767.26	1	0	0	0
MSTRG.11823.21	1	0	0	0
MSTRG.11823.37	1	0	0	0
MSTRG.11831.46	1	0	0	0
