Length	transcript_id
83	MSTRG.10103.1
47	MSTRG.10204.4
42	MSTRG.1023.20
53	MSTRG.1024.1
137	MSTRG.1024.11
72	MSTRG.1024.7
60	MSTRG.1024.8
69	MSTRG.10269.2
94	MSTRG.10269.28
63	MSTRG.10269.9
104	MSTRG.10286.2
51	MSTRG.10290.1
45	MSTRG.10290.2
81	MSTRG.10376.36
88	MSTRG.10376.38
161	MSTRG.10380.10
121	MSTRG.10380.12
121	MSTRG.10380.8
28	MSTRG.10403.9
1079	MSTRG.10475.16
1037	MSTRG.10475.19
1079	MSTRG.10475.34
1079	MSTRG.10475.48
2234	MSTRG.10488.6
37	MSTRG.10496.5
58	MSTRG.10657.11
47	MSTRG.10705.16
274	MSTRG.10731.3
29	MSTRG.108.55
29	MSTRG.108.57
2177	MSTRG.10890.10
920	MSTRG.10890.8
920	MSTRG.10890.9
46	MSTRG.10915.29
320	MSTRG.10980.4
47	MSTRG.11099.18
1445	MSTRG.11184.11
1511	MSTRG.11184.13
2133	MSTRG.11184.20
2133	MSTRG.11184.8
38	MSTRG.11288.10
75	MSTRG.11288.11
75	MSTRG.11288.12
1097	MSTRG.11288.13
704	MSTRG.11288.14
38	MSTRG.11288.17
329	MSTRG.11288.21
38	MSTRG.11288.22
1097	MSTRG.11288.23
141	MSTRG.11288.25
38	MSTRG.11288.26
1148	MSTRG.11288.29
112	MSTRG.11288.3
482	MSTRG.11288.31
149	MSTRG.11288.33
38	MSTRG.11288.34
75	MSTRG.11288.35
953	MSTRG.11288.37
371	MSTRG.11288.38
38	MSTRG.11288.40
186	MSTRG.11288.6
371	MSTRG.11288.7
32	MSTRG.1133.10
69	MSTRG.11341.39
50	MSTRG.11388.7
278	MSTRG.1145.16
26	MSTRG.1145.30
278	MSTRG.1145.37
27	MSTRG.1148.53
766	MSTRG.11663.12
43	MSTRG.11727.23
24	MSTRG.11727.36
24	MSTRG.11731.190
77	MSTRG.11731.193
73	MSTRG.11731.207
105	MSTRG.11742.10
78	MSTRG.11742.12
472	MSTRG.11742.13
105	MSTRG.11742.14
105	MSTRG.11742.15
77	MSTRG.11742.16
108	MSTRG.11742.17
76	MSTRG.11742.18
76	MSTRG.11742.2
39	MSTRG.11742.20
115	MSTRG.11742.21
160	MSTRG.11742.24
79	MSTRG.11742.25
78	MSTRG.11742.26
105	MSTRG.11742.27
105	MSTRG.11742.29
47	MSTRG.11742.30
105	MSTRG.11742.31
78	MSTRG.11742.32
39	MSTRG.11742.33
76	MSTRG.11742.34
78	MSTRG.11742.37
47	MSTRG.11742.38
73	MSTRG.11742.39
43	MSTRG.11742.4
77	MSTRG.11742.40
472	MSTRG.11742.41
44	MSTRG.11742.42
78	MSTRG.11742.44
73	MSTRG.11742.45
472	MSTRG.11742.46
44	MSTRG.11742.47
73	MSTRG.11742.48
155	MSTRG.11742.49
43	MSTRG.11742.5
56	MSTRG.11742.50
76	MSTRG.11742.51
157	MSTRG.11742.52
25	MSTRG.11742.53
119	MSTRG.11742.55
39	MSTRG.11742.56
39	MSTRG.11742.57
204	MSTRG.11742.58
76	MSTRG.11742.59
36	MSTRG.11742.6
36	MSTRG.11742.61
472	MSTRG.11742.62
155	MSTRG.11742.63
157	MSTRG.11742.64
227	MSTRG.11742.67
78	MSTRG.11742.68
335	MSTRG.11742.69
36	MSTRG.11742.7
80	MSTRG.11742.70
105	MSTRG.11742.71
31	MSTRG.11742.75
76	MSTRG.11742.8
2503	MSTRG.11767.26
485	MSTRG.11823.21
1986	MSTRG.11823.37
53	MSTRG.11831.46
51	MSTRG.11841.18
51	MSTRG.11841.20
51	MSTRG.11841.21
51	MSTRG.11841.27
51	MSTRG.11841.41
34	MSTRG.11843.69
181	MSTRG.11848.2
142	MSTRG.11848.3
251	MSTRG.1208.17
148	MSTRG.1216.13
477	MSTRG.12226.10
725	MSTRG.12226.7
33	MSTRG.12296.10
3150	MSTRG.12296.13
3103	MSTRG.12296.18
3155	MSTRG.12296.5
30	MSTRG.1245.10
57	MSTRG.1249.18
26	MSTRG.12562.12
26	MSTRG.12562.16
104	MSTRG.12562.19
197	MSTRG.1274.24
453	MSTRG.1274.27
90	MSTRG.1274.28
565	MSTRG.1274.31
90	MSTRG.1274.32
359	MSTRG.1274.36
39	MSTRG.1274.37
447	MSTRG.12762.21
447	MSTRG.12762.29
171	MSTRG.12782.83
220	MSTRG.12785.1
45	MSTRG.12948.7
131	MSTRG.12957.4
136	MSTRG.12957.8
52	MSTRG.12974.11
23	MSTRG.12974.2
83	MSTRG.12974.5
69	MSTRG.12974.6
41	MSTRG.12974.8
51	MSTRG.12991.3
230	MSTRG.12993.10
552	MSTRG.13019.6
139	MSTRG.13020.13
28	MSTRG.13020.21
67	MSTRG.13020.22
70	MSTRG.13020.23
31	MSTRG.13021.1
