transcript,gene
ENST00000005082,ZNF195
ENST00000005995,PRSS21
ENST00000006658,SPATA20
ENST00000006724,CEACAM7
ENST00000007414,OSBPL7
ENST00000007516,NDUFAB1
ENST00000007699,YBX2
ENST00000007969,LRRC23
ENST00000008527,CRY1
ENST00000009041,STARD3NL
ENST00000009105,CAMK1G
ENST00000013894,ABHD5
ENST00000019019,FTSJ1
ENST00000025008,RB1CC1
ENST00000028008,RNASET2
ENST00000045347,SPATA7
ENST00000046087,ZPBP
ENST00000061240,TLL1
ENST00000064778,FAM168A
ENST00000072644,YIPF1
ENST00000156476,KLK13
ENST00000156499,KLK14
ENST00000156825,MBD3
ENST00000159060,NOX3
ENST00000160827,KIF22
ENST00000161863,YTHDC2
ENST00000163678,METTL22
ENST00000167218,PDCD2
ENST00000167825,ARHGEF10L
ENST00000168148,SPP2
ENST00000168869,RGS11
ENST00000173898,TRO
ENST00000184266,NDUFB4
ENST00000187608,CEACAM21
ENST00000187830,PVR
ENST00000188312,ACTR6
ENST00000194118,KIAA0141
ENST00000194672,FAM135A
ENST00000195649,SNAP91
ENST00000196169,TDRD3
ENST00000198801,MOGAT2
ENST00000199320,DIMT1
ENST00000199447,NME8
ENST00000199764,CEACAM6
ENST00000200135,ZW10
ENST00000202677,RALGAPA2
ENST00000203166,HAUS5
ENST00000203630,MLF2
ENST00000204637,FLT3LG
ENST00000207636,COMT
ENST00000215376,CBARP
ENST00000215587,POLR2E
ENST00000215832,MAPK1
ENST00000216274,RIPK3
ENST00000216327,ABHD4
ENST00000216445,C14orf105
ENST00000216450,LRRC74A
ENST00000216452,PIGH
ENST00000216456,VTI1B
ENST00000216481,ISM2
ENST00000216605,MTHFD1
ENST00000216658,PAPLN
ENST00000216862,CYP24A1
ENST00000216879,NSFL1C
ENST00000217109,CSTF1
ENST00000217169,BIRC7
ENST00000217185,PTK6
ENST00000217320,TLDC2
ENST00000217901,IDH3G
ENST00000217926,H2BFWT
ENST00000218006,GUCY2F
ENST00000218652,NDFIP2
ENST00000219197,CBLN1
ENST00000219454,WFDC1
ENST00000219481,DECR2
ENST00000219596,MEFV
ENST00000219782,MAZ
ENST00000220058,MTFMT
ENST00000220166,CTSH
ENST00000220496,DNAJC17
ENST00000220616,TG
ENST00000221138,PPP2CB
ENST00000221200,KCTD9
ENST00000221413,RUVBL2
ENST00000221462,PPP1R37
ENST00000221504,TRMT1
ENST00000221566,SGTA
ENST00000221567,KIR3DX1
ENST00000221671,C19orf44
ENST00000221784,PDCD5
ENST00000221818,CNTD2
ENST00000221859,POLR2I
ENST00000221899,CACTIN
ENST00000221992,CEACAM5
ENST00000222214,GCDH
ENST00000222284,TMEM147
ENST00000222402,UBE2D4
ENST00000222572,PON2
ENST00000222761,EVX1
ENST00000223084,LSM5
ENST00000223271,RARRES2
ENST00000223364,MYL7
ENST00000224237,VIM
ENST00000225298,UTP18
ENST00000225371,EPX
ENST00000225512,WNT3
ENST00000225573,PNPO
ENST00000225614,GALK1
ENST00000225916,KAT2A
ENST00000226355,AFM
ENST00000226432,CWH43
ENST00000227157,LDHA
ENST00000228251,YBX3
ENST00000228280,KITLG
ENST00000228799,ITFG2
ENST00000228811,PRR4
ENST00000228843,RAD51AP1
ENST00000228862,DUSP16
ENST00000228872,CDKN1B
ENST00000229405,ZNF76
ENST00000229708,ULBP1
ENST00000229866,RNF8
ENST00000230402,PPP2R5D
ENST00000230418,PTK7
ENST00000230901,BRD8
ENST00000230990,HBEGF
ENST00000231228,IL12B
ENST00000231498,NUP155
ENST00000231790,MLH1
ENST00000232461,GNAT1
ENST00000232501,NPRL2
ENST00000232607,UMPS
ENST00000233092,FKBP7
ENST00000233190,NDUFS1
ENST00000233505,CENPA
ENST00000233575,SNX17
ENST00000233623,TTC31
ENST00000233944,PRKAG3
ENST00000234091,ID2
ENST00000234301,COX7A2L
ENST00000235372,PRDM2
ENST00000235878,GBP3
ENST00000236671,CTSD
ENST00000236959,ATIC
ENST00000237186,UBE3D
ENST00000237275,ZC2HC1B
ENST00000237316,TCF21
ENST00000237858,GLRX
ENST00000238018,GDA
ENST00000238091,ITGB1BP1
ENST00000238341,CNTRL
ENST00000238477,ALG2
ENST00000238671,DLST
ENST00000239852,MTRF1
ENST00000239893,EXOSC8
ENST00000240079,CCDC53
ENST00000240132,CHRNA2
ENST00000240159,RNF170
ENST00000240304,LUC7L3
ENST00000240636,PRB1
ENST00000240651,PYROXD1
ENST00000241041,PEX16
ENST00000241312,CSMD2
ENST00000241391,GTDC1
ENST00000241527,MTERF4
ENST00000242248,POLM
ENST00000242261,TWIST1
ENST00000242770,STX10
ENST00000243040,PFDN5
ENST00000243052,PDE1B
ENST00000243893,UBE2C
ENST00000243924,PI3
ENST00000243997,ATP5E
ENST00000244336,CEACAM8
ENST00000244527,SLC17A1
ENST00000244546,PEX6
ENST00000244645,TCP11
ENST00000244669,APOBEC2
ENST00000244777,BLOC1S5
ENST00000245680,SLC35F5
ENST00000245787,INSIG2
ENST00000245838,THOC2
ENST00000245923,RTN2
ENST00000246194,RALY
ENST00000246199,C20orf173
ENST00000246314,AGO3
ENST00000246505,PCID2
ENST00000246662,KRT9
ENST00000246747,ARL2
ENST00000246895,STATH
ENST00000246896,HTN1
ENST00000246949,DNASE1
ENST00000247001,SUGP1
ENST00000247005,GDF1
ENST00000247087,AHDC1
ENST00000247655,COX7C
ENST00000247833,RAB3IP
ENST00000247866,NDUFB2
ENST00000248104,UNKL
ENST00000248420,CACTIN
ENST00000248553,HSPB1
ENST00000249044,APOL5
ENST00000249064,CCDC117
ENST00000249071,RAC2
ENST00000249269,PMPCB
ENST00000249377,LRRC17
ENST00000249442,MTX2
ENST00000249776,KNSTRN
ENST00000249806,CLN6
ENST00000250101,TXNDC17
ENST00000250173,LRRC6
ENST00000250366,CTC-518B2.8
ENST00000250454,EAPP
ENST00000250498,DAD1
ENST00000250559,RAP1B
ENST00000251081,DSC2
ENST00000251289,WDR18
ENST00000251588,NARFL
ENST00000251849,RAF1
ENST00000251871,MED17
ENST00000251943,ALG13
ENST00000252034,ELN
ENST00000252037,FKBP6
ENST00000252071,ACTR3C
ENST00000252336,STARD8
ENST00000252440,ECSIT
ENST00000252527,INF2
ENST00000252530,FAM98C
ENST00000252593,BST2
ENST00000252595,SLC27A1
ENST00000252597,USHBP1
ENST00000252939,CALY
ENST00000252971,MNX1
ENST00000253031,YIPF2
ENST00000253079,CCDC62
ENST00000253108,EIF3G
ENST00000253332,AKAP12
ENST00000253362,BPIFA2
ENST00000253452,COX4I1
ENST00000253457,EMC8
ENST00000253461,C16orf95
ENST00000253513,IDO1
ENST00000253789,PSMC3IP
ENST00000253794,VPS25
ENST00000253814,NDFIP1
ENST00000253925,PPFIA1
ENST00000254231,LIN28A
ENST00000254262,FAAP24
ENST00000254271,LRRC9
ENST00000254605,RRP8
ENST00000254653,IQCA1
ENST00000254695,RAP1GAP2
ENST00000254742,TMEM128
ENST00000254770,LANCL2
ENST00000254799,GRSF1
ENST00000254821,ZRANB2
ENST00000254854,GUCY2D
ENST00000254900,BRD8
ENST00000254928,ERAL1
ENST00000255136,PABPC1L
ENST00000255175,SERINC3
ENST00000255324,RNF17
ENST00000255390,SCO1
ENST00000255416,MYBPH
ENST00000255681,MACROD1
ENST00000255830,SLC2A11
ENST00000256078,KRAS
ENST00000256117,E2F5
ENST00000256194,MICAL2
ENST00000256429,MBD2
ENST00000256442,CCNB1
ENST00000256496,ARL8B
ENST00000256509,CHL1
ENST00000256680,FKBP11
ENST00000256707,KIDINS220
ENST00000256993,MYBPC3
ENST00000257197,DSC1
ENST00000257248,GIF
ENST00000257254,APLNR
ENST00000257262,TMEM258
ENST00000257287,CEP135
ENST00000257552,MSI1
ENST00000257572,HRK
ENST00000257848,METTL1
ENST00000257894,FAM186B
ENST00000257899,RP11-644F5.10
ENST00000257934,ESPL1
ENST00000258100,SMYD5
ENST00000258436,MFSD9
ENST00000258449,TGFBRAP1
ENST00000258459,ANKRD36B
ENST00000258534,DRAM1
ENST00000258682,CAMK2B
ENST00000258704,SPDYE1
ENST00000258772,DDX56
ENST00000258909,TM6SF1
ENST00000258962,SRSF1
ENST00000258969,CHAD
ENST00000259253,UGGT1
ENST00000259271,GAD2
ENST00000259633,CD72
ENST00000259708,KLC4
ENST00000259989,FGFBP2
ENST00000260054,CCDC90B
ENST00000260058,CREBZF
ENST00000260247,DCUN1D5
ENST00000260282,FXYD6
ENST00000260287,FXYD2
ENST00000260315,CASP5
ENST00000260318,ALKBH8
ENST00000260376,PARP6
ENST00000260443,RSL24D1
ENST00000260569,CEP68
ENST00000260604,PNPT1
ENST00000260662,CENPO
ENST00000260967,CDK15
ENST00000261034,SLC35A5
ENST00000261070,COX17
ENST00000261169,LMO3
ENST00000261182,NAP1L1
ENST00000261197,ST8SIA1
ENST00000261203,LIN7A
ENST00000261247,JKAMP
ENST00000261336,PZP
ENST00000261340,CLEC2D
ENST00000261406,RP3-461F17.3
ENST00000261407,LPCAT3
ENST00000261415,COL4A3BP
ENST00000261441,RSBN1
ENST00000261509,PALLD
ENST00000261535,ROCK2
ENST00000261657,CLEC16A
ENST00000261693,SCARB1
ENST00000261712,PSMD11
ENST00000261740,TRPV4
ENST00000261826,P2RX7
ENST00000261844,FAM214A
ENST00000261879,APH1B
ENST00000262018,SGCA
ENST00000262031,RBMS2
ENST00000262055,LETMD1
ENST00000262074,TTC23
ENST00000262096,ZDHHC2
ENST00000262301,LMF1
ENST00000262302,NUBP2
ENST00000262374,ALG1
ENST00000262375,DNAJA3
ENST00000262444,ARHGAP44
ENST00000262450,CHD5
ENST00000262493,GNAO1
ENST00000262506,CSNK2A2
ENST00000262510,NLRC5
ENST00000262539,PTPN3
ENST00000262585,DENND3
ENST00000262631,SCN1B
ENST00000262651,HCK
ENST00000262659,CCM2L
ENST00000262722,FBLN1
ENST00000262764,PGS1
ENST00000262776,LGALS3BP
ENST00000262794,MOV10L1
ENST00000262803,UPF1
ENST00000262848,PRKX
ENST00000262858,MAMLD1
ENST00000262888,KCNN4
ENST00000262903,HACE1
ENST00000262929,SIRPB1
ENST00000263025,MAPK3
ENST00000263026,EEF2K
ENST00000263032,NXF5
ENST00000263033,SYTL4
ENST00000263083,DPH1
ENST00000263084,DPH1
ENST00000263088,PLD2
ENST00000263097,CNN2
ENST00000263201,CDC45
ENST00000263207,ARVCF
ENST00000263233,SYP
ENST00000263255,SLC25A17
ENST00000263274,LIG1
ENST00000263280,STRN4
ENST00000263309,CLNS1A
ENST00000263335,PAX8
ENST00000263368,BLVRB
ENST00000263440,ALG6
ENST00000263574,APLP2
ENST00000263598,LCN1
ENST00000263630,CCDC88A
ENST00000263686,SELP
ENST00000263812,SLC25A12
ENST00000263893,RWDD3
ENST00000263946,PKP1
ENST00000263956,GTF3C3
ENST00000264080,GPR108
ENST00000264088,SLC25A23
ENST00000264107,ITGA6
ENST00000264110,ATF2
ENST00000264128,SLC25A24
ENST00000264151,OSGEPL1
ENST00000264218,NMU
ENST00000264244,TIMMDC1
ENST00000264246,CD80
ENST00000264255,TXNDC9
ENST00000264258,RPL31
ENST00000264312,OCIAD1
ENST00000264426,GRIA2
ENST00000264452,TMEM33
ENST00000264485,SLC4A4
ENST00000264554,SHC2
ENST00000264640,SMARCE1
ENST00000264645,CASC3
ENST00000264661,KCNH4
ENST00000264750,MAEA
ENST00000265070,GOLPH3
ENST00000265093,ATP6V0E1
ENST00000265094,FBXW11
ENST00000265109,RAI14
ENST00000265149,TET2
ENST00000265165,LEF1
ENST00000265224,ANKRD7
ENST00000265229,MRPL22
ENST00000265261,ST3GAL6
ENST00000265316,ABCB6
ENST00000265344,KCTD20
ENST00000265351,XPO5
ENST00000265388,TNPO3
ENST00000265425,SLC17A2
ENST00000265616,UBXN8
ENST00000265708,ADAM2
ENST00000265741,CDK14
ENST00000265745,VPS41
ENST00000265758,WBSCR22
ENST00000265825,FSCN3
ENST00000265970,PIK3C2A
ENST00000266027,GNAI2
ENST00000266434,BCL2L14
ENST00000266458,GABARAPL1
ENST00000266505,PLCZ1
ENST00000266671,PHLDA1
ENST00000266679,CPSF6
ENST00000266744,ASCL1
ENST00000266970,CDK2
ENST00000267101,ERBB3
ENST00000267169,DIABLO
ENST00000267415,TINF2
ENST00000267488,SLC38A6
ENST00000267811,TCF12
ENST00000267950,ETFA
ENST00000268057,BBS4
ENST00000268122,RHCG
ENST00000268231,SEPT12
ENST00000268314,ARMC5
ENST00000268607,MAP1LC3B
ENST00000268717,COPS3
ENST00000268758,PIGS
ENST00000268893,TSPOAP1
ENST00000269033,SSH2
ENST00000269097,G6PC3
ENST00000269138,SS18
ENST00000269159,IMPA2
ENST00000269192,DTNA
ENST00000269195,GALNT1
ENST00000269280,NLRP1
ENST00000269300,PIK3R5
ENST00000269361,CSNK1D
ENST00000269468,MBD1
ENST00000269571,ERBB2
ENST00000270221,EMP3
ENST00000270225,SAE1
ENST00000270233,BCAM
ENST00000270279,CBLC
ENST00000270361,CAPN10
ENST00000270538,TIMM44
ENST00000270583,KLHDC4
ENST00000271002,ITGB3BP
ENST00000271411,POU2F1
ENST00000272203,PLEKHA6
ENST00000272249,HNRNPLL
ENST00000272369,MEIS1
ENST00000272371,OTOF
ENST00000272570,ZC3H8
ENST00000272638,UBXN4
ENST00000272898,SPAG16
ENST00000273009,DIS3L2
ENST00000273048,FAM134A
ENST00000273075,DNPEP
ENST00000273146,FAM198A
ENST00000273390,MAATS1
ENST00000273435,EIF2A
ENST00000273936,CABS1
ENST00000273951,GC
ENST00000273960,HERC6
ENST00000274071,PDGFC
ENST00000274150,NKD2
ENST00000274278,UGT3A1
ENST00000274327,TRIM23
ENST00000274643,MYLK4
ENST00000275223,VNN3
ENST00000275275,PNLDC1
ENST00000275521,IGFBP3
ENST00000275607,SUMF2
ENST00000275635,LAT2
ENST00000275763,AGBL3
ENST00000275838,ASB10
ENST00000276055,CHST7
ENST00000276101,AWAT2
ENST00000276141,SYTL4
ENST00000276576,ADHFE1
ENST00000276692,TATDN1
ENST00000276737,FAM135B
ENST00000276943,IFNK
ENST00000276960,FBXO10
ENST00000277480,LCN2
ENST00000277508,PAEP
ENST00000278353,HSD17B12
ENST00000278544,ACER3
ENST00000278572,RPS3
ENST00000278715,HMBS
ENST00000278856,WDR74
ENST00000278893,BSCL2
ENST00000278927,ESAM
ENST00000278937,MPZL2
ENST00000278951,SIDT2
ENST00000279068,LSM14B
ENST00000279263,TM7SF2
ENST00000279386,TBX6
ENST00000279387,PPP4C
ENST00000279396,TMEM219
ENST00000279477,SIRPB1
ENST00000279550,YBX3
ENST00000279575,PRB4
ENST00000280295,PPP1R1C
ENST00000280699,NGLY1
ENST00000280772,ANK3
ENST00000280979,AKAP6
ENST00000280987,FAM177A1
ENST00000281030,THRSP
ENST00000281171,PTPRO
ENST00000281428,FLI1
ENST00000281620,ATP8A2
ENST00000281703,GLT1D1
ENST00000281821,EPHA4
ENST00000282058,HAUS1
ENST00000282075,G6PC2
ENST00000282185,ATG10
ENST00000282278,BOLL
ENST00000282486,MBNL1
ENST00000282488,MBNL1
ENST00000282572,CCNO
ENST00000282881,LMNTD1
ENST00000282892,MED21
ENST00000283141,SYCP2L
ENST00000283172,RASSF3
ENST00000283256,SCN2A
ENST00000283303,ADGRF4
ENST00000283365,DTNA
ENST00000283441,ZDHHC11
ENST00000283507,TCP10L2
ENST00000284073,MSI2
